model,min_edge,position_fraction,brier_train,brier_validation,brier_test,market_brier_test,beats_market_brier_everywhere,roi_train,trades_train,winrate_train,roi_validation,trades_validation,winrate_validation,roi_test,trades_test,winrate_test,worst_split_roi,all_splits_positive,min_trades
C gradient boosting,0.07,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,7.307484999999999,713,0.5876577840112202,0.06613200000000005,251,0.5219123505976095,-0.19843500000000003,247,0.4817813765182186,-0.19843500000000003,False,247
C gradient boosting,0.08,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,5.0025900000000005,678,0.5648967551622419,0.03816000000000004,244,0.5163934426229508,-0.07617000000000007,233,0.48068669527896996,-0.07617000000000007,False,233
C gradient boosting,0.1,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,7.344266999999999,597,0.5510887772194305,0.17934100000000006,215,0.5162790697674419,0.13891899999999996,193,0.49222797927461137,0.13891899999999996,True,193
C gradient boosting,0.12,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,8.049288,500,0.528,0.14630300000000004,190,0.46842105263157896,0.15365499999999993,142,0.45774647887323944,0.14630300000000004,True,142
C gradient boosting,0.15,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,10.240593,338,0.5384615384615384,0.013332000000000023,156,0.42948717948717946,0.5185,95,0.45263157894736844,0.013332000000000023,True,95
C random forest,0.05,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,3.499946,769,0.6241872561768531,0.27524,260,0.5846153846153846,0.04719699999999992,255,0.5725490196078431,0.04719699999999992,True,255
C random forest,0.06,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,3.917485,743,0.629878869448183,0.19650000000000006,255,0.5725490196078431,0.036619999999999917,249,0.570281124497992,0.036619999999999917,True,249
C random forest,0.07,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,2.7126910000000004,714,0.6120448179271709,0.11911800000000002,251,0.5697211155378487,-5.684341886080802e-17,240,0.5583333333333333,-5.684341886080802e-17,False,240
C random forest,0.08,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,2.9855359999999997,672,0.6160714285714286,0.16594899999999996,242,0.5661157024793388,-0.04962300000000005,224,0.5535714285714286,-0.04962300000000005,False,224
C random forest,0.1,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,2.866482,577,0.5961871750433275,0.15852300000000003,216,0.5462962962962963,0.04883399999999995,190,0.5473684210526316,0.04883399999999995,True,190
C random forest,0.12,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,2.747313,457,0.562363238512035,0.005281000000000056,183,0.5027322404371585,0.21669499999999997,157,0.5477707006369427,0.005281000000000056,True,157
C random forest,0.15,0.01,0.13121138916897485,0.1577810208003969,0.1388058550059501,0.1353453750952744,False,2.4219489999999997,305,0.5180327868852459,0.22891,133,0.47368421052631576,0.25176000000000004,86,0.43023255813953487,0.22891,True,86
R residual-ridge shrink=1.00,0.05,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.031523,46,0.6086956521739131,-0.035919999999999994,10,0.5,-0.12163200000000002,46,0.34782608695652173,-0.12163200000000002,False,10
R residual-ridge shrink=1.00,0.06,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,-0.0038409999999999994,25,0.6,-0.021071999999999997,6,0.5,-0.10051399999999998,39,0.3333333333333333,-0.10051399999999998,False,6
R residual-ridge shrink=1.00,0.07,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.00639299999999999,15,0.6,-0.012300999999999996,4,0.5,-0.081437,31,0.3225806451612903,-0.081437,False,4
R residual-ridge shrink=1.00,0.08,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.06172,8,1.0,-0.004860999999999994,2,0.5,-0.06223,22,0.3181818181818182,-0.06223,False,2
R residual-ridge shrink=1.00,0.1,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.03271,4,1.0,0.005810000000000001,1,1.0,-0.01844,14,0.35714285714285715,-0.01844,False,1
R residual-ridge shrink=1.00,0.12,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.02077,3,1.0,0.005810000000000001,1,1.0,-0.009640000000000004,11,0.36363636363636365,-0.009640000000000004,False,1
R residual-ridge shrink=1.00,0.15,0.01,0.13408296018994298,0.15126638506138346,0.14079782068139923,0.1353453750952744,False,0.01464,2,1.0,0.005810000000000001,1,1.0,-0.03259,10,0.3,-0.03259,False,1
R residual-ridge shrink=0.50,0.05,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,0.02077,3,1.0,0.005810000000000001,1,1.0,-0.019840000000000007,12,0.3333333333333333,-0.019840000000000007,False,1
R residual-ridge shrink=0.50,0.06,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,0.02077,3,1.0,0.005810000000000001,1,1.0,-0.009640000000000004,11,0.36363636363636365,-0.009640000000000004,False,1
R residual-ridge shrink=0.50,0.07,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,0.01464,2,1.0,0.005810000000000001,1,1.0,-0.03259,10,0.3,-0.03259,False,1
R residual-ridge shrink=0.50,0.08,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,0.00628,1,1.0,0.005810000000000001,1,1.0,-0.022650000000000007,9,0.3333333333333333,-0.022650000000000007,False,1
R residual-ridge shrink=0.50,0.1,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,0.00628,1,1.0,0.005810000000000001,1,1.0,-0.015320000000000002,5,0.4,-0.015320000000000002,False,1
R residual-ridge shrink=0.50,0.12,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.005480000000000002,4,0.5,-0.005480000000000002,False,0
R residual-ridge shrink=0.50,0.15,0.01,0.13424760654560913,0.1514942807719375,0.1377940546675077,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.005480000000000002,4,0.5,-0.005480000000000002,False,0
R residual-ridge shrink=0.25,0.05,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.015320000000000002,5,0.4,-0.015320000000000002,False,0
R residual-ridge shrink=0.25,0.06,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.005480000000000002,4,0.5,-0.005480000000000002,False,0
R residual-ridge shrink=0.25,0.07,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.005480000000000002,4,0.5,-0.005480000000000002,False,0
R residual-ridge shrink=0.25,0.08,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.014749999999999997,3,0.3333333333333333,-0.014749999999999997,False,0
R residual-ridge shrink=0.25,0.1,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.009740000000000002,1,0.0,-0.009740000000000002,False,0
R residual-ridge shrink=0.25,0.12,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.009740000000000002,1,0.0,-0.009740000000000002,False,0
R residual-ridge shrink=0.25,0.15,0.01,0.1343894087831757,0.15165704871280297,0.13649566113282127,0.1353453750952744,False,,0,,0.005810000000000001,1,1.0,-0.009740000000000002,1,0.0,-0.009740000000000002,False,0
R residual-gb shrink=1.00,0.05,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,47.110949,489,0.8445807770961146,0.03831100000000007,182,0.5934065934065934,0.07537700000000001,166,0.5843373493975904,0.03831100000000007,True,166
R residual-gb shrink=1.00,0.06,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,41.67987599999999,382,0.8821989528795812,0.13221500000000003,138,0.5507246376811594,0.028242000000000062,131,0.5725190839694656,0.028242000000000062,True,131
R residual-gb shrink=1.00,0.07,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,39.731553999999996,300,0.92,0.1580050000000001,108,0.5462962962962963,-0.018412999999999995,100,0.56,-0.018412999999999995,False,100
R residual-gb shrink=1.00,0.08,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,20.920154,240,0.9083333333333333,0.21060600000000004,92,0.5652173913043478,-0.018606,66,0.5606060606060606,-0.018606,False,66
R residual-gb shrink=1.00,0.1,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,8.937100000000003,150,0.9333333333333333,0.29111600000000004,70,0.6,0.001299999999999994,38,0.5789473684210527,0.001299999999999994,True,38
R residual-gb shrink=1.00,0.12,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,3.4740409999999997,94,0.9680851063829787,0.07941000000000002,44,0.5681818181818182,0.015449999999999993,23,0.6086956521739131,0.015449999999999993,True,23
R residual-gb shrink=1.00,0.15,0.01,0.12233374039029521,0.15158262004412237,0.13598379340039254,0.1353453750952744,False,1.2943689999999997,42,1.0,0.04769000000000001,32,0.5625,-0.02031199999999999,12,0.5,-0.02031199999999999,False,12
R residual-gb shrink=0.50,0.05,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,8.740025,136,0.9485294117647058,0.29818199999999995,63,0.6349206349206349,0.021232,36,0.6111111111111112,0.021232,True,36
R residual-gb shrink=0.50,0.06,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,3.335746,89,0.9887640449438202,0.05848,42,0.5714285714285714,0.02585900000000001,22,0.6818181818181818,0.02585900000000001,True,22
R residual-gb shrink=0.50,0.07,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,1.5094530000000002,49,1.0,0.06828000000000001,34,0.5882352941176471,-0.01587799999999999,14,0.5714285714285714,-0.01587799999999999,False,14
R residual-gb shrink=0.50,0.08,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,1.0896960000000002,31,1.0,0.028159999999999998,29,0.5517241379310345,-0.01839399999999999,7,0.42857142857142855,-0.01839399999999999,False,7
R residual-gb shrink=0.50,0.1,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,0.595712,14,1.0,0.04882499999999999,21,0.6190476190476191,-0.020210000000000002,2,0.0,-0.020210000000000002,False,2
R residual-gb shrink=0.50,0.12,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,0.449095,9,1.0,0.06103,8,0.875,-0.010360000000000001,1,0.0,-0.010360000000000001,False,1
R residual-gb shrink=0.50,0.15,0.01,0.12793498129411468,0.15101245822161108,0.13528397904170075,0.1353453750952744,True,0.07275999999999999,2,1.0,0.00965,1,1.0,,0,,0.00965,False,0
R residual-gb shrink=0.25,0.05,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.577581,13,1.0,0.038155999999999995,18,0.6111111111111112,-0.020210000000000002,2,0.0,-0.020210000000000002,False,2
R residual-gb shrink=0.25,0.06,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.449095,9,1.0,0.030670000000000003,6,0.8333333333333334,,0,,0.030670000000000003,False,0
R residual-gb shrink=0.25,0.07,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.09369999999999999,3,1.0,0.01157,2,1.0,,0,,0.01157,False,0
R residual-gb shrink=0.25,0.08,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.051489999999999994,1,1.0,0.00965,1,1.0,,0,,0.00965,False,0
R residual-gb shrink=0.25,0.1,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.051489999999999994,1,1.0,,0,,,0,,0.051489999999999994,False,0
R residual-gb shrink=0.25,0.12,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,0.051489999999999994,1,1.0,,0,,,0,,0.051489999999999994,False,0
R residual-gb shrink=0.25,0.15,0.01,0.13112233862746947,0.1512929423797369,0.13521988757178657,0.1353453750952744,True,,0,,,0,,,0,,,False,0
R residual-rf shrink=1.00,0.05,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,13.765989,338,0.863905325443787,-0.021879999999999993,149,0.6040268456375839,-0.06281200000000003,85,0.5176470588235295,-0.06281200000000003,False,85
R residual-rf shrink=1.00,0.06,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,7.941095000000002,248,0.9032258064516129,0.047910000000000036,111,0.6396396396396397,-0.057290000000000015,43,0.4883720930232558,-0.057290000000000015,False,43
R residual-rf shrink=1.00,0.07,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,4.611496,167,0.9700598802395209,0.008969000000000003,72,0.625,-0.056150000000000005,23,0.43478260869565216,-0.056150000000000005,False,23
R residual-rf shrink=1.00,0.08,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,2.3995869999999995,123,0.967479674796748,-0.01906999999999999,47,0.574468085106383,-0.056780000000000004,11,0.2727272727272727,-0.056780000000000004,False,11
R residual-rf shrink=1.00,0.1,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,0.564836,40,0.975,-0.018290000000000008,19,0.5263157894736842,-0.020059999999999995,2,0.0,-0.020059999999999995,False,2
R residual-rf shrink=1.00,0.12,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,0.15465000000000004,22,0.9545454545454546,0.009529999999999999,4,0.75,-0.010239999999999999,1,0.0,-0.010239999999999999,False,1
R residual-rf shrink=1.00,0.15,0.01,0.12390088073391686,0.15147291178550712,0.13600364006530724,0.1353453750952744,False,0.0059700000000000005,1,1.0,,0,,,0,,0.0059700000000000005,False,0
R residual-rf shrink=0.50,0.05,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,0.47092599999999996,33,0.9696969696969697,-0.0321,13,0.46153846153846156,-0.020059999999999995,2,0.0,-0.0321,False,2
R residual-rf shrink=0.50,0.06,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,0.13502,18,1.0,0.0035600000000000007,3,0.6666666666666666,-0.010239999999999999,1,0.0,-0.010239999999999999,False,1
R residual-rf shrink=0.50,0.07,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,0.01411,2,1.0,,0,,,0,,0.01411,False,0
R residual-rf shrink=0.50,0.08,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.50,0.1,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.50,0.12,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.50,0.15,0.01,0.12893616185273216,0.15138632553372242,0.1354995617403947,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.05,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.06,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.07,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.08,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.1,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.12,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
R residual-rf shrink=0.25,0.15,0.01,0.13167857515303352,0.15159238593088686,0.13537796301878005,0.1353453750952744,False,,0,,,0,,,0,,,False,0
